,good [%],fair [%],poor [%],severe [%],
Signage:,31.0,4.0,0.0,65.0,
Curb:,78.0,16.0,2.0,4.0,
Decking: ,6.0,22.0,44.0,28.000000000000004,
Steel Superstruture:,94.0,6.0,0.0,0.0,
Bolted connections:,55.00000000000001,45.0,0.0,0.0,
Field Welded connections:,57.99999999999999,26.0,16.0,0.0,
Beam Corrosion:,0.0,19.0,60.0,21.0,
Paint Effectiveness:,12.0,33.0,39.0,16.0,
Bearing conditions:,81.0,13.0,4.0,2.0,
Footing:,74.0,6.0,4.0,16.0,
Stemwall:,69.0,31.0,0.0,0.0,
Deck Backwall:,52.0,9.0,24.0,15.0,
Gravel Approach Ramps:,32.0,30.0,30.0,8.0,
Gabions:,28.999999999999996,48.0,5.0,19.0,
Concrete Blocks:,75.0,25.0,0.0,0.0,
Channel protection:,37.0,15.0,22.0,26.0,
